Method,0,1,2
velocyto,43.68015759312321,43.39921231650555,125.47653170906486
scvelo_dyn,38.97561850125493,41.49534383954155,40.10308908045977
scvelo_stc,40.8445558739255,40.64899713467049,116.60910068075958
veloae,50.9145945945946,46.59604316546763,62.438779174147214
dynamo_m1,48.13323782234957,53.01899641577061,40.85627021200144
unitvelo_ind,33.708199069101326,36.92839240959542,34.33202005730659
unitvelo_uni,27.028715003589376,29.574865350089766,33.229390681003586
velovae_std,14.507736595897805,17.039265129683,10.607517166606433
velovae_fullvb,19.164034458004306,13.016198704103672,15.641624730409777
deepvelo,35.662133142448106,32.137128535624775,29.456303724928368
celldancer,18.182144137683757,19.25224577793748,18.608554996405463
pyrovelocity_m1,12.30930064888248,12.738550306527227,8.582883854728514
pyrovelocity_m2,9.650862068965518,11.126258992805756,9.508450197770586
kvelo,24.4930082466834,24.655407833273447,21.647649802655184
velovi,27.925753228120517,36.322696306920044,41.09250627465041
sdevelo,50.951664876476904,46.090225563909776,49.79942693409742
cell2fate,79.6493553008596,96.93189964157706,97.15698924731183
svelvetvae,15.21175206019348,14.477933261571582,13.636200716845877
latentvelo_std,14.763883912576137,14.078607322325915,14.33799784714747
tivelo_std,59.120973514674304,59.202934860415176,60.240243465807374
tivelo_simple,53.658911954187545,52.963493199713675,57.03329752953813
sctour_mse,52.899132321041215,25.314100252434187,32.688358640636295
sctour_nb,12.533740129217517,9.306034482758621,11.249371182177507
sctour_zinb,12.358734723220705,12.164752333094041,11.11866235167206
graphvelo_std,21.91224928366762,23.48348887293611,18.795479009687835
