Method,0,1,2
velocyto,39.98128898372541,42.607563278288346,39.28365196485132
scvelo_dyn,19.293010595697538,15.137953414493367,20.693440585668668
scvelo_stc,34.54262240895442,41.21618079344134,35.6461984265432
veloae,70.28758560301566,57.184964346003056,38.69304100859909
dynamo_m1,83.1518267694271,76.98619678796081,83.70089172021468
unitvelo_ind,27.907335889309664,21.93626592975863,24.934086228355
unitvelo_uni,18.527442571987546,16.564393460825137,17.582091405733518
velovae_std,12.737196799528146,11.225526055202026,12.956294123828206
velovae_fullvb,15.340855563415046,16.0562505901294,16.48765594844652
deepvelo,25.140896737487875,25.177634206293728,24.2723182396543
celldancer,32.005288621338,31.145945950571555,28.91354610542969
pyrovelocity_m1,9.590685544155829,9.282351099385439,8.92396854869721
pyrovelocity_m2,9.297153185941188,9.748104035936425,9.988444745951334
kvelo,17.462780030047313,29.3232391900641,39.292071809818175
velovi,15.882328077944315,18.742861858192512,25.917053398648537
sdevelo,50.40160212719881,55.37570470890661,57.236062404521256
cell2fate,86.69680313092644,86.32404479236541,146.3565372231196
svelvetvae,10.868968184398003,14.36839544693119,9.43108810531898
latentvelo_std,11.768876070885817,11.817350850313757,12.500998275870199
tivelo_std,30.07969271466355,27.28873092543514,29.924134789671864
tivelo_simple,26.583930098384872,24.632470022234198,24.39288601557453
sctour_mse,14.684192982542486,21.18732524935575,14.877814239440037
sctour_nb,15.481148511485669,9.581430390601314,10.630568889588227
sctour_zinb,10.602780905236548,9.238042120115496,7.921535383394089
graphvelo_std,19.378680822746798,17.019568221142077,17.94198449037547
