Method,SS
velocyto,0.8187815879923598
scvelo_dyn,0.8498615462202992
scvelo_stc,0.820043809796918
veloae,0.8527277592834261
dynamo_m1,0.7890104722921276
unitvelo_ind,0.9191171335844652
unitvelo_uni,0.9304367356362573
velovae_std,0.8012475485382171
velovae_fullvb,0.8267504385177623
deepvelo,0.8431004484215567
celldancer,0.601366406175706
pyrovelocity_m1,0.9015084744765582
pyrovelocity_m2,0.8674759955014477
kvelo,0.761571954536022
velovi,0.8938741717766622
sdevelo,0.9127764306996037
cell2fate,0.775427372506252
svelvetvae,0.8293051159893987
latentvelo_std,0.8822077447415493
tivelo_std,0.8270007023679429
tivelo_simple,0.7744338222833127
graphvelo_std,0.8022519776491852
